reference,statut,licence,credit,raison,artistes,musee,ville,titre,presence_image,artiste_sous_droits,image,notice_pop,http,verifie_le
01760000021,unknown,,© Chaintreuil Laurent,crédit sans licence explicite,Véronèse,musée eucharistique du Hiéron,Paray-le-Monial,Le Repas à Emmaüs,oui,,https://popcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net/joconde/01760000021/1-20-A.jpeg,https://pop.culture.gouv.fr/notice/joconde/01760000021,200,2026-07-29
01760000025,unknown,,© Chaintreuil Laurent,crédit sans licence explicite,Francesco Vanni,musée eucharistique du Hiéron,Paray-le-Monial,Saint Hyacinthe sauvant la statue de la Vierge,oui,,https://popcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net/joconde/01760000025/1-28-A.jpeg,https://pop.culture.gouv.fr/notice/joconde/01760000025,200,2026-07-29
01760000049,unknown,,© Chaintreuil Laurent,crédit sans licence explicite,Luca Giordano,musée eucharistique du Hiéron,Paray-le-Monial,La communion des apôtres,oui,,https://popcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net/joconde/01760000049/1-63-A.jpeg,https://pop.culture.gouv.fr/notice/joconde/01760000049,200,2026-07-29
01810000027,unknown,,Laurent Chaintreuil,crédit sans licence explicite,Simon Vouet,musée Greuze - hôtel-Dieu,Tournus,La Présentation au temple ; Simeon ou le nunc dimitis. (ancien titre),oui,,https://popcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net/joconde/01810000027/0000275.jpg,https://pop.culture.gouv.fr/notice/joconde/01810000027,200,2026-07-29
01810000043,unknown,,© Christelle Rochette,crédit sans licence explicite,Greuze,musée Greuze - hôtel-Dieu,Tournus,Portrait de Madame Abraham Piot ; Portrait de femme (autre titre),oui,,https://popcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net/joconde/01810000043/0000304a.jpg,https://pop.culture.gouv.fr/notice/joconde/01810000043,200,2026-07-29
01810000044,unknown,,© Christelle Rochette,crédit sans licence explicite,Greuze,musée Greuze - hôtel-Dieu,Tournus,Portrait du Chanoine Piot,oui,,https://popcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net/joconde/01810000044/0000303a.jpg,https://pop.culture.gouv.fr/notice/joconde/01810000044,200,2026-07-29
01840000018,unknown,,"Berry Emmanuel, musées d'Auxerre",crédit sans licence explicite,Charles Le Brun,musée d'art et d'histoire Saint-Germain,Auxerre,Le massacre des Innocents,oui,,https://popcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net/joconde/01840000018/M018486_5fabe7df98eb_1.jpg,https://pop.culture.gouv.fr/notice/joconde/01840000018,200,2026-07-29
01840000027,unknown,,"Berry Emmanuel, musées d'Auxerre",crédit sans licence explicite,Gaspard Dughet,musée d'art et d'histoire Saint-Germain,Auxerre,Paysage,oui,,https://popcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net/joconde/01840000027/M018400_5bbb8b5cf36ff_1.jpg,https://pop.culture.gouv.fr/notice/joconde/01840000027,200,2026-07-29
01840000028,unknown,,"Berry Emmanuel, musées d'Auxerre",crédit sans licence explicite,Gaspard Dughet,musée d'art et d'histoire Saint-Germain,Auxerre,Paysage,oui,,https://popcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net/joconde/01840000028/M018400_5bba3ed11f026_1.jpg,https://pop.culture.gouv.fr/notice/joconde/01840000028,200,2026-07-29
01840000081,unknown,,musées d'Auxerre,crédit sans licence explicite,Ribera,musée d'art et d'histoire Saint-Germain,Auxerre,Une fileuse,oui,,https://popcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net/joconde/01840000081/M018400_779a8051c4395_1.jpg,https://pop.culture.gouv.fr/notice/joconde/01840000081,200,2026-07-29
